experiment,species,site_name,site_number,plant_id,plant_unique_id,height_pre,crown_length_pre,crown_width_pre,biomass_pre,drybiomass_pre,num_stems_pre,diameter_stem_pre,success_1,height_post,crown_length_post,crown_width_post,num_resprouts_post,diameter_stem_post,drybiomass_post,success_2
field,GAL,Serra D'irta,6,GAL_15,GAL_Serra D'irta_15,33,16,12,10,4.143970422,1,18.16,1,16,8,7,11,2.09,5.634,
field,GAL,Serra D'irta,6,GAL_16,GAL_Serra D'irta_16,52,55,48,250,103.5992606,4,25.91,0,,,,,,,
field,GAL,Serra D'irta,6,GAL_17,GAL_Serra D'irta_17,36,31,31,25,10.35992606,4,7.13,1,34,28,24,15,2.04,18.657,
field,GAL,Serra D'irta,6,GAL_18,GAL_Serra D'irta_18,37,40,36,80,33.15176338,6,12.45,1,34,27,23,31,2.19,17.787,
field,GAL,Serra D'irta,6,GAL_19,GAL_Serra D'irta_19,28,29,18,20,8.287940844,1,19.76,1,,,,,,,
field,GAL,Serra D'irta,6,GAL_20,GAL_Serra D'irta_20,33,30,20,40,16.57588169,4,13.14,1,35,24,20,24,3,26.477,
field,GAL,Serra D'irta,6,GAL_21,GAL_Serra D'irta_21,42,44,39,100,41.43970422,4,15.06,1,34,37,25,53,2.51,47.193,
field,GAL,Serra D'irta,6,GAL_22,GAL_Serra D'irta_22,39,34,27,70,29.00779295,3,21.36,0,,,,,,,
field,GAL,Serra D'irta,6,GAL_23,GAL_Serra D'irta_23,60,55,50,220,91.16734929,3,21.3,1,52,51,30,41,3.31,93.11,1
field,GAL,Serra D'irta,6,GAL_24,GAL_Serra D'irta_24,50,35,22,100,41.43970422,4,25.47,1,40,39,29,34,3.61,56.838,1
field,GAL,Serra D'irta,6,GAL_25,GAL_Serra D'irta_25,56,58,48,120,49.72764507,3,24.52,1,,,,,,,
field,GAL,Serra del Boix,9,GAL_1,GAL_Serra del Boix_1,46,52,46,150,60.11757924,1,20.63,1,29,29,27,17,3.27,23.777,1
field,GAL,Serra del Boix,9,GAL_2,GAL_Serra del Boix_2,49,54,30,60,24.0470317,2,15.52,1,33,28,20,16,2.58,17.84,1
field,GAL,Serra del Boix,9,GAL_3,GAL_Serra del Boix_3,67.5,69,61,240,96.18812678,2,24.2,1,45,33,33,31,2.65,40.82,1
field,GAL,Serra del Boix,9,GAL_4,GAL_Serra del Boix_4,39,61,57,220,88.17244955,9,14.66,1,41,58,52,44,3.55,72.169,1
field,GAL,Serra del Boix,9,GAL_5,GAL_Serra del Boix_5,59,37,36,80,32.06270893,4,13.6,1,36,31,27,16,2.4,12.911,1
field,GAL,Serra del Boix,9,GAL_6,GAL_Serra del Boix_6,42,31,18,50,20.03919308,1,25.84,1,25,15,11,11,2.03,7.674,1
field,GAL,Serra del Boix,9,GAL_7,GAL_Serra del Boix_7,40,44,36,110,44.08622478,4,10.77,1,37,29,26,27,3.88,42.689,1
field,GAL,Serra del Boix,9,GAL_8,GAL_Serra del Boix_8,54,35,34,120,48.09406339,2,12.93,0,,,,,,,
field,GAL,Serra del Boix,9,GAL_9,GAL_Serra del Boix_9,43,49,37,100,40.07838616,2,18.65,1,36,31,30,24,3.73,30.365,1
field,GAL,Serra del Boix,9,GAL_10,GAL_Serra del Boix_10,48,39,27,80,32.06270893,2,11.01,0,,,,,,,
field,GAL,Serra del Boix,9,GAL_11,GAL_Serra del Boix_11,51,68,47,140,56.10974062,4,17.23,1,,,,,,,
field,GAL,Serra del Boix,9,GAL_12,GAL_Serra del Boix_12,57,52,44,120,48.09406339,1,19.1,1,52,43,36,24,3.98,64.186,1
field,GAL,Serra del Boix,9,GAL_13,GAL_Serra del Boix_13,64,66,46,320,128.2508357,3,23.05,1,46,42,34,75,3.44,89.672,0
field,GAL,Serra del Boix,9,GAL_14,GAL_Serra del Boix_14,54,46,45,180,72.14109509,5,10.1,1,30,24,19,19,2.92,21.481,1
field,GAL,Serra del Boix,9,GAL_15,GAL_Serra del Boix_15,47,29,28,80,32.06270893,2,11.2,0,,,,,,,
field,GAL,Serra del Boix,9,GAL_16,GAL_Serra del Boix_16,42,57,27,80,32.06270893,3,12.24,1,33,37,14,20,2.92,20.057,1
field,GAL,Serra del Boix,9,GAL_17,GAL_Serra del Boix_17,37,38,28,140,56.10974062,1,15.88,1,23,29,21,14,3.15,19.312,1
field,GAL,Serra del Boix,9,GAL_18,GAL_Serra del Boix_18,42,41,45,150,60.11757924,1,21.52,1,28,21,15,9,3.01,11.51,0
field,GAL,Serra del Boix,9,GAL_19,GAL_Serra del Boix_19,48,42,33,140,56.10974062,5,18.05,1,30,34,24,13,3.85,22.88,1
field,GAL,Serra del Boix,9,GAL_20,GAL_Serra del Boix_20,50,46,32,150,60.11757924,11,20.81,,,,,,,,
field,GAL,Serra del Boix,9,GAL_21,GAL_Serra del Boix_21,38,45,34,100,40.07838616,2,17.74,1,43,38,25,15,3.29,23.365,
field,GAL,Serra del Boix,9,GAL_22,GAL_Serra del Boix_22,40,48,38,100,40.07838616,7,10.36,0,,,,,,,
field,GAL,Serra del Boix,9,GAL_23,GAL_Serra del Boix_23,47,78,37,130,52.10190201,3,18.7,1,54,45,41,26,4.26,59.201,1
field,GAL,Serra del Boix,9,GAL_24,GAL_Serra del Boix_24,33,27,39,100,40.07838616,4,14.99,1,31,30,27,29,3.43,28.405,1
field,GAL,Serra del Boix,9,GAL_25,GAL_Serra del Boix_25,43,31,29,50,20.03919308,1,13.48,1,33,31,24,14,3.2,23.557,1
field,GAL,Tivissa,10,GAL_1,GAL_Tivissa_1,30,49,20,100,39.8509911,1,14.5,1,18,24,16,13,2.29,7.348,1
field,GAL,Tivissa,10,GAL_2,GAL_Tivissa_2,58,66,62,200,79.7019822,4,21.3,1,51,48,32,47,2.52,45.654,1
field,GAL,Tivissa,10,GAL_3,GAL_Tivissa_3,45,28,22,50,19.92549555,1,17.57,1,32,25,20,18,1.78,5.664,1
field,GAL,Tivissa,10,GAL_4,GAL_Tivissa_4,42,46,37,150,59.77648665,1,26.32,1,33,32,17,40,2.59,27.986,1
field,GAL,Tivissa,10,GAL_5,GAL_Tivissa_5,62,67,39,116,46.22714968,2,27.56,1,44,45,20,23,3.33,32.039,1
field,GAL,Tivissa,10,GAL_6,GAL_Tivissa_6,37,43,29,140,55.79138754,3,19.13,,,,,,,,
field,GAL,Tivissa,10,GAL_7,GAL_Tivissa_7,56,61,54,210,83.68708132,4,30.62,1,56,67,50,25,4.09,78.457,1
field,GAL,Tivissa,10,GAL_8,GAL_Tivissa_8,37,44,25,90,35.86589199,3,29.65,1,37,36,25,11,3.39,23.252,1
field,GAL,Tivissa,10,GAL_9,GAL_Tivissa_9,34,45,32,150,59.77648665,1,16.42,1,22,23,19,14,2.96,15.285,1
field,GAL,Tivissa,10,GAL_10,GAL_Tivissa_10,49,49,43,200,79.7019822,2,20.63,1,41,27,20,15,3.86,22.797,1
field,GAL,Tivissa,10,GAL_11,GAL_Tivissa_11,50,70,60,320,127.5231715,2,20.39,1,42,38,35,21,4.5,69.563,0
field,GAL,Tivissa,10,GAL_12,GAL_Tivissa_12,40,31,30,100,39.8509911,4,20.97,0,,,,,,,
field,GAL,Tivissa,10,GAL_13,GAL_Tivissa_13,52,50,35,220,87.67218043,4,24.1,0,,,,,,,
field,GAL,Tivissa,10,GAL_14,GAL_Tivissa_14,52,32,49,150,59.77648665,5,17.61,1,26,24,17,20,2.1,13.96,1
field,GAL,Tivissa,10,GAL_15,GAL_Tivissa_15,61,51,60,380,151.4337662,7,19.58,1,39,34,31,38,3.39,48.836,1
field,GAL,Tivissa,10,GAL_16,GAL_Tivissa_16,65,29,28,100,39.8509911,1,16.24,1,26,16,13,11,3.31,8.543,1
field,GAL,Tivissa,10,GAL_17,GAL_Tivissa_17,36,40,29,140,55.79138754,1,16.65,,,,,,,,
field,GAL,Tivissa,10,GAL_18,GAL_Tivissa_18,52,34,36,100,39.8509911,3,23.11,1,38,22,13,9,2.64,7.385,
field,GAL,Tivissa,10,GAL_19,GAL_Tivissa_19,58,53,36,240,95.64237865,2,19.04,,,,,,,,
field,GAL,Tivissa,10,GAL_20,GAL_Tivissa_20,50,63,60,300,119.5529733,5,20.02,1,43,42,43,67,3.37,78.24,1
field,GAL,Tivissa,10,GAL_21,GAL_Tivissa_21,33,38,29,110,43.83609021,4,13.49,1,38,20,16,14,2.42,13.209,1
field,GAL,Tivissa,10,GAL_22,GAL_Tivissa_22,55,50,48,300,119.5529733,6,31.9,1,41,38,28,44,3.17,49.357,1
field,GAL,Tivissa,10,GAL_23,GAL_Tivissa_23,55,68,47,290,115.5678742,2,19.79,1,35,29,29,36,2.1,21.766,1
field,GAL,Tivissa,10,GAL_24,GAL_Tivissa_24,44,29,27,90,35.86589199,2,17.44,1,29,14,9,9,2.08,5.601,
field,GAL,Tivissa,10,GAL_25,GAL_Tivissa_25,29,49,24,140,55.79138754,1,16.65,1,29,7,4,3,2.53,3.587,
